id,text,urgency_flag,authority_flag,manipulation_flag,label
1,URGENT: Your account will be permanently suspended in 24 hours. Click here to verify your identity.,1,1,1,phishing
2,"Hey team, just a reminder that the Q3 marketing review is scheduled for 3 PM today in Conference Room B.",0,0,0,safe
3,CEO request: I am in a meeting and need you to purchase five $100 Apple gift cards for a client right now. Keep this confidential.,1,1,1,phishing
4,Your monthly electricity invoice for August is attached. Please review the charges.,0,0,0,safe
5,"Congratulations! Your email address was randomly selected to win a $5,000 government grant. Provide your bank routing number to claim.",1,0,1,phishing
6,IT Alert: We detected unusual login activity from Russia on your company email. Reset your password immediately via this portal.,1,1,1,phishing
7,"Hi Mom, I lost my phone and I'm using a friend's number. I'm stranded and need you to wire me $50 for a cab home.",1,0,1,phishing
8,The project deadline has been extended to next Friday. Let me know if you need any help adjusting the roadmap.,0,0,0,safe
9,FINAL NOTICE: Failure to pay your outstanding tax balance will result in immediate legal action and a warrant for your arrest.,1,1,1,phishing
10,Can we reschedule our 1-on-1 to tomorrow? I'm running behind on the current sprint.,0,0,0,safe
11,SECURITY WARNING: Your crypto wallet has been compromised. Transfer your assets to this secure vault address immediately.,1,0,1,phishing
12,Please find attached the meeting minutes from yesterday's board session.,0,0,0,safe
13,Hey are we still on for the bootcamp tomorrow?.,0,0,0,safe
14,Your purchase for $207.00 USD of BTC is now available in your account,1,0,1,phishing
15,To prevent any potential security breaches it is crucial that all employees update their systems immediately.,1,1,1,phishing
16,Immediate Action Required: Email Account Deactivation Notice,1,0,1,phishing
17,A refund of R4 240 is now pending. This link will expire in 2 business days.,0,1,1,phishing
18,Immediate adjustments are necessary. Please urgently review conflicting dates to resolve this issue.,1,1,1,phishing
19,Good luck for your 2024 final NSC examinations!,0,0,0,safe
20,Account as potentially fraudulent You can immediately view the detailed list of flagged expenses and verify their authenticity through the secure link below:,1,0,1,phishing
21,Notice water will not be available at 24 June 2026 please fill up your tank.,0,0,0,safe
22,if you did not authorize this transfer you must act immediately Unless reversed within the next 24 hours the payment will be released and become non-recoverable.,1,1,1,phishing
23,We detected multiple failed MFA attempts on your account Please verify immediately.,1,0,1,safe
24,You have received a new payment to your Global Payment Service!.0,1,1,phishing
25,Due to the nature of the changes we require you to review them or your account will remain suspended.,1,1,1,phishing
26,Create a free account today and receive a 250 USD kick-start bonus.,0,0,1,phishing 
27,Claim your free Google device today,1,0,1,phishing
